location,rooms,area_m2,price,url
"Elan №5767756 - Bakı, Dərnəgül m., 2 otaqlı, 60 m², 14/16 mərtəbə",2,60,730,https://bina.az/items/5767756
"Elan №5475021 - Bakı, Nərimanov r., 4 otaqlı, 180 m², 5/16 mərtəbə",4,180,1500,https://bina.az/items/5475021
"Elan №5741793 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 70 m², 13/20 mərtəbə",2,70,800,https://bina.az/items/5741793
"Elan №5690775 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 67 m², 4/20 mərtəbə",2,67,1200,https://bina.az/items/5690775
"Elan №5700371 - Bakı, İnşaatçılar m., 4 otaqlı, 78 m², 1/9 mərtəbə",4,78,770,https://bina.az/items/5700371
"Elan №5737507 - Bakı, Ağ şəhər q., 3 otaqlı, 101 m², 3/7 mərtəbə",3,101,1800,https://bina.az/items/5737507
"Elan №5767752 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 65 m², 14/16 mərtəbə",2,65,950,https://bina.az/items/5767752
"Elan №5694737 - Bakı, Gənclik m., 3 otaqlı, 125 m², 9/17 mərtəbə",3,125,1200,https://bina.az/items/5694737
"Elan №5756036 - Bakı, Qara Qarayev m., 1 otaqlı, 60 m², 6/17 mərtəbə",1,60,550,https://bina.az/items/5756036
"Elan №5734085 - Bakı, Yeni Yasamal q., 3 otaqlı, 120 m², 7/11 mərtəbə",3,120,750,https://bina.az/items/5734085
"Elan №5765468 - Bakı, Dərnəgül m., 3 otaqlı, 90 m², 6/16 mərtəbə",3,90,799,https://bina.az/items/5765468
"Elan №5763036 - Bakı, 28 May m., 4 otaqlı, 140 m², 12/17 mərtəbə",4,140,1400,https://bina.az/items/5763036
"Elan №5767745 - Bakı, Nizami m., 3 otaqlı, 130 m², 3/17 mərtəbə",3,130,1500,https://bina.az/items/5767745
"Elan №5584197 - Sumqayıt, Sumqayıt, 2 otaqlı, 75 m², 1/14 mərtəbə",2,75,430,https://bina.az/items/5584197
"Elan №5767711 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 70 m², 9/21 mərtəbə",2,70,1000,https://bina.az/items/5767711
"Elan №5755387 - Bakı, Nizami r., 2 otaqlı, 85 m², 5/16 mərtəbə",2,85,650,https://bina.az/items/5755387
